"","species","season","cell","cell_lat","n","anova_p","manova_p","q5","q5_low","q5_high","bl_q5","bl_q5_low","bl_q5_high","q50","q95","q95_low","q95_high","bl_q95","bl_q95_low","bl_q95_high","onset_ci_ol","offset_ci_ol","is_sig_any","midday_dist","genus"
"366","Tapinoma melanocephalum",3,740,28.9855072463768,11,0.732856631586352,0.568954367277315,7.89388041753699,5.81922051773207,11.0131246393599,6.56780075912503,5.86315404730091,7.47268789387349,15.2555646259113,20.8494411929324,17.6057149151312,22.7234582257524,20.8133343660819,19.8982587827532,22.3489732460436,TRUE,TRUE,FALSE,0.255564625911306,"Tapinoma"
"367","Tapinoma melanocephalum",4,740,28.9855072463768,9,0.521597434829365,0.004365663896208,7.24549681172846,5.10907327558481,9.55916185338994,7.13823221889353,6.51863398588472,7.66770389167811,13.6932496442942,19.6290038821941,14.6977370082016,24.3082792883422,19.9986951784243,19.2287813607605,20.7757286242142,TRUE,TRUE,TRUE,1.30675035570576,"Tapinoma"
"368","Dorymyrmex bureni",2,718,26.7391304347826,11,0.411445192916751,1.52084142902601e-05,5.55626342244365,4.2547048143316,10.8833147018794,7.30895427605902,6.84093701523129,7.95929406690187,12.5339256496006,20.6332309837331,20.4208537267228,25.5943703473155,21.4506790406333,20.4194549432337,21.8182231428333,TRUE,TRUE,TRUE,2.46607435039943,"Dorymyrmex"
"369","Dorymyrmex bureni",4,718,26.7391304347826,15,0.0587224938835985,0.0328802231364285,7.55110731595183,5.09543962212703,8.8621827843934,7.19697506244559,6.93024554739837,7.85136765523892,12.3250320454695,17.2710884992596,13.583253076304,20.4685943462323,18.8370093965024,18.2858761753991,19.8308043717173,TRUE,TRUE,TRUE,2.67496795453046,"Dorymyrmex"
"370","Camponotus planatus",1,718,26.7391304347826,13,0.860923812233623,0.00116640750138132,9.40111828766905,7.13788203086889,10.4282384306389,7.64911942599984,6.95073252999092,8.16882003686268,14.478950418295,19.6158530004084,17.8568042318165,20.1018599724165,19.7701235364416,19.1854779926976,21.0496244388409,TRUE,TRUE,TRUE,0.521049581705036,"Camponotus"
"371","Camponotus planatus",2,718,26.7391304347826,22,0.610698873144128,0.123889606681735,8.43844860332543,6.52357410617339,10.9737632996562,7.15791194201418,6.19720627286023,7.50698959473063,13.2647766713266,18.4099586857533,16.3928446873576,18.3798080439966,21.1598539046476,20.4534910855453,22.2356038940215,TRUE,FALSE,TRUE,1.7352233286734,"Camponotus"
"372","Camponotus planatus",3,718,26.7391304347826,15,0.880086712178894,0.271722770108945,8.25599548135674,6.55595987193946,10.0976767483603,6.61817912116569,5.62216396769941,6.99276866250142,13.5381402563114,20.001971655373,17.3436673640016,19.4261949870465,21.4218585738768,20.260338423065,21.611315157332,TRUE,FALSE,TRUE,1.4618597436886,"Camponotus"
"373","Camponotus planatus",4,718,26.7391304347826,31,0.468490771718366,3.81137852697315e-08,7.63281882607413,6.51703301335192,8.89710066591935,6.99645034185491,6.45043548381037,7.69868656190968,13.865774539561,18.8633634741633,17.4045008983416,19.7865633293518,19.8557138137338,18.5911241362141,20.0966171656311,TRUE,TRUE,TRUE,1.13422546043903,"Camponotus"
"374","Solenopsis invicta",1,718,26.7391304347826,13,0.0839965682797037,1.73344885799124e-08,6.36763659543395,5.29465622013248,10.279545050153,8.09520461495475,7.46279600844481,8.66058689672829,12.0060888152847,17.0587523880759,11.706808171771,19.6170901536086,19.9541547632391,19.1407296717045,20.0673955739823,TRUE,TRUE,TRUE,2.99391118471528,"Solenopsis"
"375","Solenopsis invicta",2,718,26.7391304347826,12,0.380001113369572,0.0200418577642423,6.36254972579687,4.19187660660098,7.64489966351489,6.84966673300975,5.40565867220391,7.13943540064473,13.2680837027967,21.5897489181586,16.5129975590705,22.243478959599,21.55153806348,20.3215640532975,22.6002596275035,TRUE,TRUE,TRUE,1.73191629720326,"Solenopsis"
"376","Solenopsis invicta",4,718,26.7391304347826,19,0.654575789453177,1.85423447410255e-08,6.37331055156791,4.2468315679989,10.3719496579874,7.34279198903316,6.95644337701106,7.49002862854953,13.5837323047701,21.5676864655948,17.3158199074528,22.7014664067395,19.0253346050658,18.2618315528975,19.389093678901,TRUE,TRUE,TRUE,1.41626769522987,"Solenopsis"
"377","Camponotus floridanus",3,718,26.7391304347826,10,0.495825544359859,0.614241925714864,6.40797701733077,3.65458922661725,10.6715167232937,5.86763488618262,5.23976657775803,6.35382838958474,15.2397863424443,21.8558697630696,15.9218979886043,21.8597556134278,20.9397830695571,19.8592686439328,21.9263090882025,TRUE,TRUE,FALSE,0.239786342444344,"Camponotus"
"378","Camponotus floridanus",4,718,26.7391304347826,20,0.502545042333154,0.00243651039879664,6.8113316885755,5.42066387638469,8.20713692564381,7.27007808364187,5.88643103217164,7.38159564606176,14.6119472242101,22.6664747117524,19.6575642766794,23.835816589925,19.5242148945807,19.0880289131125,20.4114544224026,TRUE,TRUE,TRUE,0.388052775789943,"Camponotus"
"379","Pheidole megacephala",2,718,26.7391304347826,10,0.0011911916462241,0.0002626492874476,16.1273426929414,11.7153505907861,17.0105625851086,6.73170592901708,5.62864539967734,7.74237771898874,19.0371183356836,21.630337030951,20.6318115609095,22.3923490017066,21.4694915590935,20.3491575736686,22.1536705286052,FALSE,TRUE,TRUE,4.03711833568361,"Pheidole"
"380","Tetramorium immigrans",2,767,42.463768115942,10,0.162920097804741,0.252618437926854,9.80166884184473,8.04913092342991,14.8973798741023,7.71136397835618,6.46104916958885,8.42026817796021,16.5202830180657,20.9255306103743,20.0787602595199,21.7045217111547,19.8508934531168,19.4365578452465,20.5221502646359,TRUE,TRUE,FALSE,1.52028301806567,"Tetramorium"
